=== SIMPLE LEXICAL ANALYZER OUTPUT ===

------------- SYMBOL TABLE -------------
 Line |   Col | Token           | Lexeme
-------------------------------------------------------
    1 |     1 | COMMENT         | // Simple if
    2 |     1 | KEYWORD         | if
    2 |     4 | IDENTIFIER      | temperature
    2 |    16 | REL_OP          | >
    2 |    18 | NUMBER          | 30
    2 |    20 | COLON           | :
    3 |     5 | KEYWORD         | show
    3 |    10 | STRING          | It's a hot day.
    4 |     1 | KEYWORD         | end
    4 |     5 | KEYWORD         | if
    6 |     1 | COMMENT         | // If-else
    7 |     1 | KEYWORD         | if
    7 |     4 | IDENTIFIER      | score
    7 |    10 | REL_OP          | >=
    7 |    13 | NUMBER          | 50
    7 |    15 | COLON           | :
    8 |     5 | KEYWORD         | show
    8 |    10 | STRING          | You passed!
    9 |     1 | IDENTIFIER      | else
    9 |     5 | COLON           | :
   10 |     5 | KEYWORD         | show
   10 |    10 | STRING          | Please try again.
   11 |     1 | KEYWORD         | end
   11 |     5 | KEYWORD         | if
   13 |     1 | COMMENT         | // Nested if-else-if
   14 |     1 | KEYWORD         | if
   14 |     4 | IDENTIFIER      | grade
   14 |    10 | ASSIGN_OP       | =
   14 |    11 | ASSIGN_OP       | =
   14 |    13 | STRING          | A
   14 |    16 | COLON           | :
   15 |     5 | KEYWORD         | show
   15 |    10 | STRING          | Excellent!
   16 |     1 | IDENTIFIER      | else
   16 |     6 | KEYWORD         | if
   16 |     9 | IDENTIFIER      | grade
   16 |    15 | ASSIGN_OP       | =
   16 |    16 | ASSIGN_OP       | =
   16 |    18 | STRING          | B
   16 |    21 | COLON           | :
   17 |     5 | KEYWORD         | show
   17 |    10 | STRING          | Good job!
   18 |     1 | IDENTIFIER      | else
   18 |     6 | KEYWORD         | if
   18 |     9 | IDENTIFIER      | grade
   18 |    15 | ASSIGN_OP       | =
   18 |    16 | ASSIGN_OP       | =
   18 |    18 | STRING          | C
   18 |    21 | COLON           | :
   19 |     5 | KEYWORD         | show
   19 |    10 | STRING          | Well done.
   20 |     1 | IDENTIFIER      | else
   20 |     5 | COLON           | :
   21 |     5 | KEYWORD         | show
   21 |    10 | STRING          | Needs improvement.
   22 |     1 | KEYWORD         | end
   22 |     5 | KEYWORD         | if
   22 |     7 | LEXICAL_ERROR   | ;
   25 |     1 | COMMENT         | /*For KeyWords*/
   26 |     1 | DATATYPE        | int
   26 |     5 | IDENTIFIER      | counter
   26 |    13 | ASSIGN_OP       | =
   26 |    15 | NUMBER          | 0
   27 |     1 | DATATYPE        | float
   27 |     7 | IDENTIFIER      | price
   27 |    13 | ASSIGN_OP       | =
   27 |    15 | NUMBER          | 12.5
   28 |     1 | DATATYPE        | char
   28 |     6 | IDENTIFIER      | letter
   28 |    13 | ASSIGN_OP       | =
   28 |    15 | STRING          | A
   29 |     1 | DATATYPE        | string
   29 |     8 | IDENTIFIER      | name
   29 |    13 | ASSIGN_OP       | =
   29 |    15 | STRING          | SIMPLE
   30 |     1 | DATATYPE        | text
   30 |     6 | IDENTIFIER      | message
   30 |    14 | ASSIGN_OP       | =
   30 |    16 | STRING          | HelloWorld123!
   31 |     1 | DATATYPE        | secure
   31 |     8 | IDENTIFIER      | password
   31 |    17 | ASSIGN_OP       | =
   31 |    19 | STRING          | admin123
   32 |     1 | DATATYPE        | bool
   32 |     6 | IDENTIFIER      | isActive
   32 |    15 | ASSIGN_OP       | =
   32 |    17 | IDENTIFIER      | true
   33 |     1 | DATATYPE        | time
   33 |     6 | IDENTIFIER      | currentTime
   33 |    18 | ASSIGN_OP       | =
   33 |    20 | STRING          | 12:00:00
   34 |     1 | DATATYPE        | date
   34 |     6 | IDENTIFIER      | currentDate
   34 |    18 | ASSIGN_OP       | =
   34 |    20 | STRING          | 2025-11-04
   35 |     1 | DATATYPE        | timestamp
   35 |    11 | IDENTIFIER      | logTime
   35 |    19 | ASSIGN_OP       | =
   35 |    21 | STRING          | 2025-11-04 12:00:00
   36 |     1 | DATATYPE        | array
   36 |     7 | IDENTIFIER      | numbers
   36 |    15 | ASSIGN_OP       | =
   36 |    17 | LBRACKET        | [
   36 |    18 | NUMBER          | 1
   36 |    19 | COMMA           | ,
   36 |    21 | NUMBER          | 2
   36 |    22 | COMMA           | ,
   36 |    24 | NUMBER          | 3
   36 |    25 | COMMA           | ,
   36 |    27 | NUMBER          | 4
   36 |    28 | COMMA           | ,
